hall_name,bench,seat_no,class,reg_no
MainHall,1,1,CSE3A,3A2021024
MainHall,1,2,CSE3B,3B2023098
MainHall,2,1,CSE3A,3A2021021
MainHall,2,2,CSE3B,3B2023026
MainHall,3,1,CSE3A,3A2022067
MainHall,3,2,CSE3B,3B2023071
MainHall,4,1,CSE3A,3A2022043
MainHall,4,2,CSE3B,3B2021048
MainHall,5,1,CSE3A,3A2022010
MainHall,5,2,CSE3B,3B2022031
MainHall,6,1,CSE3A,3A2021084
MainHall,6,2,CSE3B,3B2023089
MainHall,7,1,CSE3A,3A2023089
MainHall,7,2,CSE3B,3B2021078
MainHall,8,1,CSE3A,3A2021051
MainHall,8,2,CSE3B,3B2022097
MainHall,9,1,CSE3A,3A2023041
MainHall,9,2,CSE3B,3B2022037
MainHall,10,1,CSE3A,3A2023002
MainHall,10,2,CSE3B,3B2022043
MainHall,11,1,CSE3A,3A2023017
MainHall,11,2,CSE3B,3B2021099
MainHall,12,1,CSE3A,3A2023086
MainHall,12,2,CSE3B,3B2021093
MainHall,13,1,CSE3A,3A2023044
MainHall,13,2,CSE3B,3B2022094
MainHall,14,1,CSE3A,3A2021027
MainHall,14,2,CSE3B,3B2021084
MainHall,15,1,CSE3A,3A2022013
MainHall,15,2,CSE3B,3B2021015
MainHall,16,1,CSE3A,3A2021069
MainHall,16,2,CSE3B,3B2021024
MainHall,17,1,CSE3A,3A2023029
MainHall,17,2,CSE3B,3B2022022
MainHall,18,1,CSE3A,3A2022094
MainHall,18,2,CSE3B,3B2023086
MainHall,19,1,CSE3A,3A2021033
MainHall,19,2,CSE3B,3B2022001
MainHall,20,1,CSE3A,3A2021075
MainHall,20,2,CSE3B,3B2021060
MainHall,21,1,CSE3A,3A2023038
MainHall,21,2,CSE3B,3B2022007
MainHall,22,1,CSE3A,3A2022040
MainHall,22,2,CSE3B,3B2022040
MainHall,23,1,CSE3A,3A2021003
MainHall,23,2,CSE3B,3B2023011
MainHall,24,1,CSE3A,3A2021006
MainHall,24,2,CSE3B,3B2023005
MainHall,25,1,CSE3A,3A2023056
MainHall,25,2,CSE3B,3B2023044
MainHall,26,1,CSE3A,3A2023095
MainHall,26,2,CSE3B,3B2023080
MainHall,27,1,CSE3A,3A2022022
MainHall,27,2,CSE3B,3B2021006
MainHall,28,1,CSE3A,3A2023083
MainHall,28,2,CSE3B,3B2021021
MainHall,29,1,CSE3A,3A2021090
MainHall,29,2,CSE3B,3B2022010
MainHall,30,1,CSE3A,3A2023068
MainHall,30,2,CSE3B,3B2023041
BlockB-201,31,1,CSE3A,3A2022031
BlockB-201,31,2,CSE3B,3B2021090
BlockB-201,32,1,CSE3A,3A2023023
BlockB-201,32,2,CSE3B,3B2023068
BlockB-201,32,3,CSE4A,4A2021096
BlockB-201,33,1,CSE3A,3A2022019
BlockB-201,33,2,CSE3B,3B2021033
BlockB-201,33,3,CSE4A,4A2021099
BlockB-201,34,1,CSE3A,3A2021012
BlockB-201,34,2,CSE3B,3B2021018
BlockB-201,34,3,CSE4A,4A2022025
BlockB-201,35,1,CSE3A,3A2022073
BlockB-201,35,2,CSE3B,3B2023095
BlockB-201,35,3,CSE4A,4A2021006
BlockB-201,36,1,CSE3A,3A2022064
BlockB-201,36,2,CSE3B,3B2023035
BlockB-201,36,3,CSE4A,4A2023047
BlockB-201,37,1,CSE3A,3A2022091
BlockB-201,37,2,CSE3B,3B2022013
BlockB-201,37,3,CSE4A,4A2021027
BlockB-201,38,1,CSE3A,3A2022070
BlockB-201,38,2,CSE3B,3B2022070
BlockB-201,38,3,CSE4A,4A2022079
BlockB-201,39,1,CSE3A,3A2021009
BlockB-201,39,2,CSE3B,3B2022025
BlockB-201,39,3,CSE4A,4A2022046
BlockB-201,40,1,CSE3A,3A2022037
BlockB-201,40,2,CSE3B,3B2022049
BlockB-201,40,3,CSE4A,4A2021072
BlockB-201,41,1,CSE3A,3A2021078
BlockB-201,41,2,CSE3B,3B2023065
BlockB-201,41,3,CSE4A,4A2022007
BlockB-201,42,1,CSE3A,3A2023071
BlockB-201,42,2,CSE3B,3B2023014
BlockB-201,42,3,CSE4A,4A2022061
BlockB-201,43,1,CSE3A,3A2022085
BlockB-201,43,2,CSE3B,3B2022085
BlockB-201,43,3,CSE4A,4A2022034
BlockB-201,44,1,CSE3A,3A2021054
BlockB-201,44,2,CSE3B,3B2022016
BlockB-201,44,3,CSE4A,4A2023026
BlockB-201,45,1,CSE3A,3A2021042
BlockB-201,45,2,CSE3B,3B2023074
BlockB-201,45,3,CSE4A,4A2021060
BlockB-201,46,1,CSE3A,3A2022016
BlockB-201,46,2,CSE3B,3B2022052
BlockB-201,46,3,CSE4A,4A2021090
BlockB-201,47,1,CSE3A,3A2021030
BlockB-201,47,2,CSE3B,3B2022055
BlockB-201,47,3,CSE4A,4A2023092
BlockB-201,48,1,CSE3A,3A2023074
BlockB-201,48,2,CSE3B,3B2023047
BlockB-201,48,3,CSE4A,4A2022010
BlockB-201,49,1,CSE3A,3A2021039
BlockB-201,49,2,CSE3B,3B2021036
BlockB-201,49,3,CSE4A,4A2021036
BlockB-201,50,1,CSE3A,3A2023020
BlockB-201,50,2,CSE3B,3B2023083
BlockB-201,50,3,CSE4A,4A2021003
BlockC-101,51,1,CSE3A,3A2022025
BlockC-101,51,2,CSE3B,3B2023023
BlockC-101,51,3,CSE4A,4A2023065
BlockC-101,52,1,CSE3A,3A2023092
BlockC-101,52,2,CSE3B,3B2022076
BlockC-101,53,1,CSE3A,3A2021072
BlockC-101,53,2,CSE3B,3B2022034
BlockC-101,54,1,CSE3A,3A2023005
BlockC-101,54,2,CSE3B,3B2023038
BlockC-101,55,1,CSE3A,3A2022046
BlockC-101,55,2,CSE3B,3B2021039
BlockC-101,56,1,CSE3A,3A2022004
BlockC-101,56,2,CSE3B,3B2022091
BlockC-101,57,1,CSE3A,3A2023035
BlockC-101,57,2,CSE3B,3B2021003
BlockC-101,58,1,CSE3A,3A2022058
BlockC-101,58,2,CSE3B,3B2021045
BlockC-101,59,1,CSE3A,3A2023065
BlockC-101,59,2,CSE3B,3B2023017
BlockC-101,60,1,CSE3A,3A2021066
BlockC-101,60,2,CSE3B,3B2022028
BlockC-101,61,1,CSE3A,3A2021093
BlockC-101,61,2,CSE3B,3B2022019
BlockC-101,62,1,CSE3A,3A2023014
BlockC-101,62,2,CSE3B,3B2023077
BlockC-101,63,1,CSE3A,3A2023008
BlockC-101,63,2,CSE3B,3B2022004
BlockC-101,64,1,CSE3A,3A2023026
BlockC-101,64,2,CSE3B,3B2022088
BlockC-101,65,1,CSE3A,3A2022076
BlockC-101,65,2,CSE3B,3B2021063
