hall_name,bench,seat_no,class,reg_no
MainHall,1,1,CSE3A,3A2022088
MainHall,1,2,CSE3B,3B2022091
MainHall,2,1,CSE3A,3A2023011
MainHall,2,2,CSE3B,3B2022061
MainHall,3,1,CSE3A,3A2022076
MainHall,3,2,CSE3B,3B2023059
MainHall,4,1,CSE3A,3A2021024
MainHall,4,2,CSE3B,3B2022049
MainHall,5,1,CSE3A,3A2021015
MainHall,5,2,CSE3B,3B2023065
MainHall,6,1,CSE3A,3A2022013
MainHall,6,2,CSE3B,3B2021009
MainHall,7,1,CSE3A,3A2023098
MainHall,7,2,CSE3B,3B2022028
MainHall,8,1,CSE3A,3A2023044
MainHall,8,2,CSE3B,3B2023098
MainHall,9,1,CSE3A,3A2023068
MainHall,9,2,CSE4A,4A2021030
MainHall,10,1,CSE3A,3A2021075
MainHall,10,2,CSE4B,4B2022085
MainHall,11,1,ECE3A,3A2021021
MainHall,11,2,ECE3B,3B2021003
MainHall,12,1,ECE3A,3A2023080
MainHall,13,1,ECE3A,3A2023020
MainHall,14,1,ECE3A,3A2021009
MainHall,15,1,ECE3A,3A2023065
MainHall,16,1,ECE3A,3A2022067
