hall_name,bench,seat_no,class,reg_no
MainHall,1,1,CSE3A,3A2021093
MainHall,1,2,CSE3B,3B2021030
MainHall,2,1,CSE3A,3A2021042
MainHall,2,2,CSE3B,3B2023092
MainHall,3,1,CSE3A,3A2021078
MainHall,3,2,CSE3B,3B2023029
MainHall,4,1,CSE3A,3A2022010
MainHall,4,2,CSE3B,3B2022094
MainHall,5,1,CSE3A,3A2023002
MainHall,5,2,CSE3B,3B2022055
MainHall,6,1,CSE3A,3A2022070
MainHall,6,2,CSE3B,3B2021069
MainHall,7,1,CSE3A,3A2023029
MainHall,7,2,CSE3B,3B2021009
MainHall,8,1,CSE3A,3A2021030
MainHall,8,2,CSE3B,3B2023089
MainHall,9,1,CSE3A,3A2021009
MainHall,9,2,CSE3B,3B2023059
MainHall,10,1,CSE3A,3A2021060
MainHall,10,2,CSE3B,3B2023005
MainHall,11,1,CSE3A,3A2022052
MainHall,11,2,CSE3B,3B2021051
MainHall,12,1,CSE3A,3A2022001
MainHall,12,2,CSE3B,3B2023050
MainHall,13,1,CSE3A,3A2022043
MainHall,13,2,CSE3B,3B2022061
MainHall,14,1,CSE3A,3A2022085
MainHall,14,2,CSE3B,3B2023044
MainHall,15,1,CSE3A,3A2023035
MainHall,15,2,CSE3B,3B2021006
MainHall,16,1,CSE3A,3A2022040
MainHall,16,2,CSE3B,3B2021075
MainHall,17,1,CSE3A,3A2021099
MainHall,17,2,CSE3B,3B2022034
MainHall,18,1,CSE3A,3A2023062
MainHall,18,2,CSE3B,3B2023098
MainHall,19,1,CSE3A,3A2022037
MainHall,19,2,CSE3B,3B2021081
MainHall,20,1,CSE3A,3A2022028
MainHall,20,2,CSE3B,3B2022097
MainHall,21,1,CSE3A,3A2021027
MainHall,21,2,CSE3B,3B2023080
MainHall,22,1,CSE3A,3A2023074
MainHall,22,2,CSE3B,3B2021090
MainHall,23,1,CSE3A,3A2023086
MainHall,23,2,CSE3B,3B2023074
MainHall,24,1,CSE3A,3A2022088
MainHall,24,2,CSE3B,3B2023083
MainHall,25,1,CSE3A,3A2022055
MainHall,25,2,CSE3B,3B2023065
MainHall,26,1,CSE3A,3A2021018
MainHall,26,2,CSE3B,3B2022091
MainHall,27,1,CSE3A,3A2023092
MainHall,27,2,CSE3B,3B2022022
MainHall,28,1,CSE3A,3A2022004
MainHall,28,2,CSE3B,3B2022007
MainHall,29,1,CSE3A,3A2023041
MainHall,29,2,CSE3B,3B2021024
MainHall,30,1,CSE3A,3A2022097
MainHall,30,2,CSE3B,3B2023032
BlockB-201,31,1,CSE3A,3A2023050
BlockB-201,31,2,CSE3B,3B2021063
BlockB-201,32,1,CSE3A,3A2022034
BlockB-201,32,2,CSE3B,3B2021084
BlockB-201,32,3,CSE4A,4A2023038
BlockB-201,33,1,CSE3A,3A2022025
BlockB-201,33,2,CSE3B,3B2021003
BlockB-201,33,3,CSE4A,4A2021024
BlockB-201,34,1,CSE3A,3A2021084
BlockB-201,34,2,CSE3B,3B2023077
BlockB-201,34,3,CSE4A,4A2022022
BlockB-201,35,1,CSE3A,3A2023089
BlockB-201,35,2,CSE3B,3B2021036
BlockB-201,35,3,CSE4A,4A2023002
BlockB-201,36,1,CSE3A,3A2022073
BlockB-201,36,2,CSE3B,3B2023086
BlockB-201,36,3,CSE4A,4A2021042
BlockB-201,37,1,CSE3A,3A2022067
BlockB-201,37,2,CSE3B,3B2022025
BlockB-201,37,3,CSE4A,4A2021006
BlockB-201,38,1,CSE3A,3A2023080
BlockB-201,38,2,CSE3B,3B2021066
BlockB-201,38,3,CSE4A,4A2022079
BlockB-201,39,1,CSE3A,3A2021063
BlockB-201,39,2,CSE3B,3B2023038
BlockB-201,39,3,CSE4A,4A2021018
BlockB-201,40,1,CSE3A,3A2022046
BlockB-201,40,2,CSE3B,3B2021096
BlockB-201,40,3,CSE4A,4A2023035
BlockB-201,41,1,CSE3A,3A2021012
BlockB-201,41,2,CSE3B,3B2023023
BlockB-201,41,3,CSE4A,4A2022031
BlockB-201,42,1,CSE3A,3A2023005
BlockB-201,42,2,CSE3B,3B2022016
BlockB-201,42,3,CSE4A,4A2022016
BlockB-201,43,1,CSE3A,3A2022013
BlockB-201,43,2,CSE3B,3B2022088
BlockB-201,43,3,CSE4A,4A2021015
BlockB-201,44,1,CSE3A,3A2023053
BlockB-201,44,2,CSE3B,3B2023068
BlockB-201,44,3,CSE4A,4A2022025
BlockB-201,45,1,CSE3A,3A2021051
BlockB-201,45,2,CSE3B,3B2022040
BlockB-201,45,3,CSE4A,4A2022004
BlockB-201,46,1,CSE3A,3A2022019
BlockB-201,46,2,CSE3B,3B2021057
BlockB-201,46,3,CSE4A,4A2023053
BlockB-201,47,1,CSE3A,3A2021069
BlockB-201,47,2,CSE3B,3B2022052
BlockB-201,47,3,CSE4A,4A2022013
BlockB-201,48,1,CSE3A,3A2023071
BlockB-201,48,2,CSE3B,3B2023041
BlockB-201,48,3,CSE4A,4A2022058
